Name,Position,Team,Overall,Age,Durability
Pierce Wooten,QB,KC,88,21,56
Vince Nwosu,QB,KC,78,27,70
Finn Nwosu,QB,KC,73,34,84
Tavon Hargrove,RB,KC,90,25,71
Marcus Hargrove,RB,KC,80,29,83
Lamar Mabry,RB,KC,74,34,88
Zion Mixon,RB,KC,73,33,96
Cooper Ledbetter,FB,KC,78,34,74
Jax Tatum,WR,KC,88,24,95
Hollis Oglesby,WR,KC,79,30,83
Evan Ulmer,WR,KC,65,31,86
Hollis Hasselback,WR,KC,72,23,96
Finn Nwosu,WR,KC,73,31,59
Xavier Jessup,WR,KC,66,31,76
Ibrahim Lockridge,QB,BUF,87,24,89
Braxton Kmet,QB,BUF,80,31,82
Otis Dunbar,QB,BUF,64,23,69
Moses Castillo,RB,BUF,92,30,86
Kai Hasselback,RB,BUF,74,31,84
Wyatt Ledbetter,RB,BUF,76,21,77
Evan Lockridge,RB,BUF,68,27,71
Preston Okafor,FB,BUF,81,33,83
Damon Pruitt,WR,BUF,89,34,91
Malik Ulmer,WR,BUF,83,21,60
Tavon Sandoval,WR,BUF,69,23,77
Preston Kmet,WR,BUF,72,23,81
Hollis Ellington,WR,BUF,67,31,82
Levi Quarles,WR,BUF,73,29,68
Jax Ingram,QB,PHI,80,24,97
Marcus Ingram,QB,PHI,75,30,61
